articleid;subarticleid;articlename;external_str_id;ecrlongname;ecrsectionid;sectionname;articlebarcode;unitname;sectiontype;rest;flgbase;subarticlebarcode;flg_disable;flg_disable_name;preparemoment_name;baseprice;ecological_class;articletype;article_type_name;tax_system;tag_1212;tag_1162;tag_1162_name;subarticle_marking;subarticle_marking_name;has_any_bc_marking;has_mrc;isloto;class_path;strpath
1000152;1000153;Дт+(ДТ-Е);22;ДТ+;174550;ПРОЧИЕ ГСМ;22;л/1000;TYPE_FUEL;NULL;SET_BASE;22;SET_DISABLE;Блокирован;Нет;12300;NULL;AT_GOODS;Товар;ОСН;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;174550;ПРОЧИЕ ГСМ
1000156;1000157;Дт+(ДТ-А);23;ДТ+;174550;ПРОЧИЕ ГСМ;23;л/1000;TYPE_FUEL;NULL;SET_BASE;23;SET_DISABLE;Блокирован;Нет;12300;1;AT_GOODS;Товар;ОСН;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;174550;ПРОЧИЕ ГСМ
1000166;1000167;ДТОПТИ(ДТ);24;ДТ ОПТИ межсезонное;174546;ДТ;24;л/1000;TYPE_FUEL;-250225;SET_BASE;24;SET_NOTDISABLE;В работе;Нет;5400;1;AT_GOODS;Товар;ОСН;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;174543.174546;НП/ДТ
1000169;1000170;ДТОПТИ(ДТ);25;ДТ ОПТИ зимнее;174546;ДТ;25;л/1000;TYPE_FUEL;NULL;SET_BASE;25;SET_NOTDISABLE;В работе;Нет;12300;1;AT_GOODS;Товар;ОСН;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;174543.174546;НП/ДТ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;174550;ПРОЧИЕ ГСМ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;174543.174544;НП/АИ-92
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;174543.174545;НП/АИ-95
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;174543.174546;НП/ДТ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;174543.174546;НП/ДТ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;174550;ПРОЧИЕ ГСМ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;174550;ПРОЧИЕ ГСМ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;174543;НП
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;174543.174546;НП/ДТ
;;;;;;;;;;;;;;;;;;;;;7;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;1;1004614.1004828.1004834.1005971;Сопутствующий бизнес New/NON-FOOD/Лотерея/Столото
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;174543.174546;НП/ДТ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;174550;ПРОЧИЕ ГСМ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;174543.174547;НП/АИ-98
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;1;0;1004614.1004828.1004834.1005971;Сопутствующий бизнес New/NON-FOOD/Лотерея/Столото
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;174550;ПРОЧИЕ ГСМ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;174550;ПРОЧИЕ ГСМ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;174543.174546;НП/ДТ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;0;АВАНСЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;42;ОПЛАТА УВОЗА
;;;;;;;;;;;;;;;;;;;;;10;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;44;ВАУЧЕР
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;174543.174546;НП/ДТ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204.1000328;Сопутствующий бизнес New/Cafe/Орбит
;;;;;;;;;;;;;;;;;;;;;2;UMCTOG_DataMatrixTobacco;Да;UMCTOG_NotMarked;Нет;UMCTOG_DataMatrixTobacco;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;2;UMCTOG_DataMatrixTobacco;Да;UMCTOG_DataMatrixTobacco;Да;UMCTOG_DataMatrixTobacco;1;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;26;UMCTOG_DataMatrixTobacco;Да;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1004783.1004809.200308;Сопутствующий бизнес New/CAFÉ/Общественное питание/Общественное питание 200308
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1004783.1004809.200308;Сопутствующий бизнес New/CAFÉ/Общественное питание/Общественное питание 200308
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;2;СОП.ТОВАРЫ
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1004783.1004809.200308;Сопутствующий бизнес New/CAFÉ/Общественное питание/Общественное питание 200308
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1004783.1004809.200308;Сопутствующий бизнес New/CAFÉ/Общественное питание/Общественное питание 200308
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1000204;Сопутствующий бизнес New/Cafe
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614;Сопутствующий бизнес New
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1004783.1004784.1004787;Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1004783.1004784.1004787;Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1004783.1004784.1004787;Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1004783.1004784.1004787;Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1004783.1004784.1004787;Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1004783.1004784.1004787;Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1004783.1004784.1004787;Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1004783.1004784.1004787;Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком
;;;;;;;;;;;;;;;;;;;;;NULL;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;Нет;UMCTOG_NotMarked;0;0;1004614.1004783.1004784.1004787;Сопутствующий бизнес New/CAFÉ/Напитки кафе/Кофейные напитки с молоком
